date,寒武纪_688256,贵州茅台_600519,寒武纪_688256_PE,贵州茅台_600519_PE,寒武纪_688256_TR,贵州茅台_600519_TR,海光信息_688041,上海机场_600009,海光信息_688041_PE,上海机场_600009_PE,海光信息_688041_TR,上海机场_600009_TR,中际旭创_300308,招商银行_600036,中际旭创_300308_PE,招商银行_600036_PE,中际旭创_300308_TR,招商银行_600036_TR,工业富联_601138,海天味业_603288,工业富联_601138_PE,海天味业_603288_PE,工业富联_601138_TR,海天味业_603288_TR,宁德时代_300750,中信证券_600030,宁德时代_300750_PE,中信证券_600030_PE,宁德时代_300750_TR,中信证券_600030_TR
2023-05-16,184.51,1703.29,,32.2889,4.2372,0.1769,74.17,49.93,191.6627,,6.678,0.2975,76.82,34.82,48.9693,6.2356,5.272,0.1868,14.78,66.49,14.7187,50.6396,0.8418,0.1491,239.0,21.8,26.9009,15.0234,0.3599,0.7081
2023-05-17,187.54,1701.0,,32.2455,3.3083,0.1336,76.83,49.48,198.5364,,7.3113,0.3302,79.01,34.5,50.3654,6.1783,5.8121,0.1921,15.55,64.76,15.4855,49.322,1.0844,0.1875,240.0,21.66,27.0135,14.927,0.4699,0.4252
2023-05-18,196.81,1691.0,,32.0559,6.7689,0.153,81.33,49.2,210.1649,,10.0938,0.3282,94.81,34.45,60.4371,6.1694,7.5039,0.1595,16.35,64.38,16.2822,49.0326,1.4487,0.1651,232.4,21.67,26.1581,14.9339,0.6213,0.532
2023-05-19,195.3,1699.5,,32.2171,5.7174,0.2129,80.9,49.37,209.0537,,9.1242,0.2137,93.55,33.95,59.634,6.0798,10.4918,0.1905,16.16,64.71,16.0929,49.284,0.8813,0.1231,230.0,21.29,25.8879,14.672,0.5015,0.6746
2023-05-22,188.65,1746.0,,33.0986,3.9183,0.3286,78.01,50.29,201.5857,,6.9398,0.4459,89.89,34.2,57.3187,6.1246,6.4227,0.1439,15.41,66.32,15.3461,50.5101,0.8898,0.1718,230.3,21.3,25.9217,14.6789,0.378,0.4266
2023-05-23,184.11,1724.55,,32.6919,3.4142,0.1345,77.27,48.94,199.6734,,3.6239,0.53,87.2,33.6,55.6034,6.0171,7.0792,0.1682,15.23,65.31,15.1668,49.7409,0.5008,0.0806,225.42,20.85,25.3724,14.3687,0.5051,0.6808
2023-05-24,182.0,1710.9,,32.4332,4.3295,0.1471,76.83,47.29,198.5364,,6.5794,0.7067,87.67,32.93,55.9031,5.8971,7.6383,0.2249,14.82,64.4,14.7585,49.0479,0.6187,0.0869,225.25,20.28,25.3533,13.9759,0.3808,0.959
2023-05-25,194.5,1701.0,,32.2455,6.6407,0.1788,81.0,47.37,209.3121,,8.9886,0.3693,93.18,32.42,59.4166,5.8058,10.2238,0.3423,16.3,63.98,16.2324,48.728,1.549,0.086,224.09,20.32,25.2227,14.0035,0.3542,0.5807
2023-05-26,224.0,1690.56,,32.0476,7.9894,0.1456,86.51,47.28,223.5505,,11.8119,0.2686,91.45,32.74,58.431,5.8631,8.1232,0.1428,16.79,64.12,16.7203,48.8346,1.3429,0.0682,220.0,20.37,24.7624,14.038,0.469,0.4027
2023-05-29,219.6,1689.0,,32.018,6.2298,0.1415,86.37,47.11,223.1888,,8.0961,0.2831,96.0,32.69,61.3382,5.8542,8.3203,0.1877,17.9,63.27,17.8257,48.1872,1.53,0.1416,217.06,20.35,24.4315,14.0242,0.4259,0.44
2023-05-30,234.8,1668.29,,31.6254,5.0232,0.2106,90.92,46.7,234.9464,,8.8549,0.6338,109.0,32.64,69.6444,5.8452,8.6145,0.1649,18.03,61.93,17.9552,47.1667,1.2703,0.1362,224.99,20.36,25.324,14.0311,0.6816,0.577
2023-05-31,254.19,1628.9,,30.8787,5.981,0.2942,92.73,46.6,239.6236,,6.9302,0.463,107.5,32.3,68.686,5.7843,6.1384,0.2547,18.05,60.5,17.9751,46.0776,1.1043,0.1999,221.17,20.05,24.8941,13.8174,0.486,0.8643
2023-06-01,237.01,1635.92,,31.0118,5.0023,0.228,87.3,45.12,225.592,,10.7421,0.8117,108.04,32.06,69.031,5.7413,5.1105,0.229,17.92,50.12,17.8456,45.8064,0.801,0.1845,222.9,20.1,25.0888,13.8519,0.4105,0.6599
2023-06-02,228.7,1670.6,,31.6692,4.856,0.1995,83.2,45.99,214.9972,,12.4615,0.5329,106.7,33.07,68.1748,5.9222,3.8448,0.2709,17.83,50.83,17.756,46.4553,0.541,0.1543,228.44,20.19,25.7124,13.9139,0.597,0.7765
2023-06-05,230.32,1665.0,,31.5631,3.6848,0.129,83.5,45.8,215.7724,,6.6722,0.3308,111.2,33.04,71.05,5.9168,5.1786,0.1516,18.93,49.72,18.8515,45.4409,1.0382,0.1537,219.8,20.0,24.7399,13.783,0.8652,0.5393
2023-06-06,223.25,1666.99,,31.6008,3.76,0.1585,79.39,45.19,205.1517,,7.7873,0.5436,107.31,33.07,68.5646,5.9222,4.273,0.1874,18.22,49.45,18.1444,45.1941,0.7169,0.1429,219.28,19.83,24.6813,13.6658,0.4441,0.6519
2023-06-07,221.2,1650.9,,31.2958,2.9189,0.1424,79.88,45.84,206.4179,,5.8338,0.4703,108.11,33.3,69.0757,5.9634,3.788,0.1643,18.03,49.3,17.9552,45.057,0.4874,0.1296,207.3,19.87,23.3329,13.6934,1.2901,0.4195
2023-06-08,221.01,1668.0,,31.6199,2.9308,0.117,77.25,46.63,199.6218,,7.0038,0.5263,106.72,34.08,68.1876,6.1031,4.5822,0.2664,17.85,49.28,17.7759,45.0387,0.4852,0.1086,208.01,20.2,23.4128,13.9208,0.6144,0.6786
2023-06-09,226.78,1666.0,,31.582,5.8334,0.1399,77.81,46.97,201.0689,,10.0531,0.5566,115.2,33.74,73.6058,6.0422,7.7288,0.2012,19.64,48.75,19.5585,44.5543,1.0885,0.1142,212.04,20.18,23.8664,13.907,0.6248,0.4493
2023-06-12,220.21,1696.0,,32.1507,4.6581,0.2152,78.39,46.91,202.5676,,8.746,0.3686,121.5,33.73,77.6311,6.0404,5.3518,0.1972,21.35,49.42,21.2614,45.1667,1.2632,0.1492,211.95,19.85,23.8563,13.6796,0.467,0.7896
2023-06-13,232.9,1699.0,,32.2076,5.2138,0.1167,80.78,46.81,208.7436,,12.8851,0.3804,121.55,33.73,77.6631,6.0404,3.7273,0.1121,22.02,50.01,21.9286,45.7059,1.1328,0.1818,213.1,19.98,23.9857,13.7692,0.3411,0.4487
2023-06-14,224.8,1726.88,,32.7361,5.0241,0.2508,81.48,46.94,210.5525,,10.4191,0.4829,129.55,33.39,82.7746,5.9795,5.4561,0.1855,22.79,50.25,22.6954,45.9252,1.0266,0.1826,213.4,20.0,24.0195,13.783,0.4214,0.6653
2023-06-15,211.0,1755.0,,33.2692,4.919,0.2008,75.78,47.62,195.8231,,10.0764,0.459,134.79,33.72,86.1226,6.0386,5.8739,0.1791,22.64,51.08,22.5461,46.6838,0.7627,0.1653,230.88,20.3,25.987,13.9897,1.3004,0.731
2023-06-16,222.85,1797.69,,34.0784,5.5895,0.3018,77.08,47.78,199.1825,,10.1498,0.4007,155.0,33.93,99.0356,6.0762,6.1109,0.2069,24.06,51.05,23.9602,46.6564,1.005,0.1661,231.1,20.39,26.0118,14.0517,0.7633,0.618
2023-06-19,239.1,1744.0,,33.0607,6.9507,0.2523,80.01,47.83,206.7539,,11.4168,0.4753,160.01,33.58,102.2367,6.0136,6.5568,0.1352,26.46,50.41,26.3502,46.0715,1.0485,0.1271,227.88,20.15,25.6493,13.8863,0.4818,0.5979
2023-06-20,267.0,1743.46,,33.0504,8.3678,0.1667,83.97,47.22,216.9869,,15.6473,0.3306,170.0,33.19,108.6197,5.9437,6.0263,0.1491,26.03,50.22,25.922,45.8978,1.1001,0.0751,228.0,20.06,25.6628,13.8243,0.4625,0.5291
2023-06-21,230.98,1735.83,,32.9058,6.2574,0.1411,76.4,47.29,197.4253,,10.0511,0.4379,159.9,33.17,102.1664,5.9401,6.3153,0.2074,24.5,49.65,24.3983,45.3769,0.8052,0.1001,224.91,19.85,25.315,13.6796,0.4409,0.4507
2023-06-26,202.5,1709.0,,32.3972,6.1855,0.191,69.44,45.74,179.4399,,10.4382,0.5694,148.0,32.61,94.563,5.8398,8.2948,0.2095,23.09,48.65,22.9942,44.4629,0.9833,0.1223,225.17,19.29,25.3443,13.2937,0.4098,0.7337
2023-06-27,196.69,1711.05,,32.436,3.2577,0.1208,68.72,46.4,177.5794,,4.9701,0.3353,147.2,32.82,94.0519,5.8774,4.8851,0.1676,23.01,48.0,22.9145,43.8689,0.5097,0.1774,223.47,19.49,25.1529,13.4315,0.3456,0.3314
2023-06-28,202.95,1728.38,,32.7645,6.6434,0.1479,70.0,46.36,180.887,,9.271,0.3174,141.98,33.05,90.7166,5.9186,6.3296,0.1618,22.98,47.97,22.8846,43.8415,0.8555,0.152,224.5,19.5,25.2689,13.4384,0.3492,0.3379
2023-06-29,193.0,1713.71,,32.4865,5.9333,0.1133,68.01,45.42,175.7447,,7.6786,0.4707,148.01,32.68,94.5694,5.8524,6.1546,0.1253,23.8,47.1,23.7012,43.0463,0.8583,0.1539,222.5,19.44,25.0438,13.397,0.2557,0.2603
2023-06-30,188.0,1691.0,,32.0559,4.4859,0.1629,68.27,45.42,176.4165,,5.9138,0.3543,147.45,32.76,94.2116,5.8667,6.4865,0.1423,25.2,46.85,25.0954,42.8179,0.9847,0.1609,228.79,19.78,25.7517,13.6314,0.555,0.456
2023-07-03,192.54,1724.1,,32.6834,4.6817,0.1524,69.6,47.04,179.8534,,6.5214,0.9095,146.0,33.72,93.2851,6.0386,5.5129,0.2199,24.37,48.27,24.2689,44.1156,0.786,0.2197,229.88,20.24,25.8744,13.9484,0.4006,0.7668
2023-07-04,202.41,1730.6,,32.8066,4.848,0.0993,71.15,47.34,183.8587,,6.3751,0.522,146.52,33.51,93.6174,6.001,4.1349,0.1086,24.58,48.87,24.478,44.664,0.5598,0.1361,229.25,20.28,25.8035,13.9759,0.2615,0.4068
2023-07-05,200.8,1715.38,,32.5181,3.0692,0.1174,69.29,46.92,179.0523,,4.0153,0.2661,138.96,33.03,88.787,5.9151,4.5507,0.2002,23.86,47.63,23.7653,43.5307,0.4846,0.1409,227.51,20.15,25.6077,13.8863,0.2224,0.3024
2023-07-06,206.82,1702.98,,32.283,4.4682,0.1205,69.5,46.28,179.595,,3.7921,0.4226,139.8,32.58,89.3237,5.8345,4.311,0.1977,23.88,46.7,23.7852,42.6808,0.4924,0.1593,224.85,20.05,25.3083,13.8174,0.2648,0.3707
2023-07-07,195.43,1690.03,,32.0376,3.826,0.1207,67.05,46.5,173.2639,,3.6696,0.2503,146.99,32.31,93.9177,5.7861,6.7707,0.2292,23.66,45.79,23.5661,41.8491,0.5309,0.1745,222.25,20.13,25.0156,13.8726,0.2526,0.3652
2023-07-10,196.96,1700.9,,32.2436,2.7632,0.1073,70.35,47.08,181.7915,,7.1725,0.4439,143.6,32.45,91.7517,5.8112,5.5977,0.1319,23.8,46.03,23.7055,42.0684,0.4487,0.2151,228.8,20.12,25.7529,13.8657,0.4145,0.2986
2023-07-11,210.3,1710.0,,32.4161,4.7102,0.1002,77.8,47.33,201.043,,15.6747,0.3572,148.5,32.71,94.8825,5.8578,4.6048,0.1596,24.24,45.09,24.1437,41.2093,0.5996,0.3081,229.09,20.24,25.7855,13.9484,0.2359,0.3114
2023-07-12,196.29,1713.8,,32.4882,3.8483,0.1058,74.94,47.0,193.6525,,8.0221,0.2779,138.79,33.2,88.6784,5.9455,6.2111,0.3064,22.53,44.26,22.4405,40.4508,0.835,0.2635,226.99,20.08,25.5491,13.8381,0.2239,0.2776
2023-07-13,200.1,1738.4,,32.9545,3.9672,0.2054,76.94,46.92,198.8207,,8.296,0.3714,154.2,31.85,98.5244,5.7037,7.1578,0.2733,24.78,45.35,24.6816,41.447,0.7865,0.272,230.0,20.47,25.8879,14.1069,0.5732,0.7071
2023-07-14,206.01,1753.0,,33.2313,4.0278,0.1477,78.4,45.88,202.5935,,11.3112,0.8238,155.39,31.93,99.2848,5.7181,7.1963,0.1685,27.26,45.1,27.1518,41.2185,1.0509,0.1683,228.28,20.5,25.6943,14.1275,0.3349,0.3916
2023-07-17,200.2,1729.97,,32.7947,3.3134,0.1141,76.1,46.02,196.65,,7.5471,0.3191,157.71,31.65,100.7671,5.6679,5.4116,0.127,26.11,45.0,26.0063,41.1271,0.8835,0.1172,225.65,20.28,25.3983,13.9759,0.2692,0.3074
2023-07-18,185.0,1722.8,,32.6588,5.1812,0.1173,73.16,45.62,189.0528,,5.5719,0.4448,151.29,31.46,96.6651,5.6339,4.1578,0.1534,25.53,44.45,25.4286,40.6244,0.7908,0.165,225.5,20.29,25.3814,13.9828,0.2209,0.2413
2023-07-19,182.37,1723.0,,32.6626,2.7109,0.0994,71.95,44.99,185.926,,3.6203,0.6465,149.0,31.58,95.2019,5.6554,2.9512,0.1165,25.09,44.2,24.9904,40.3959,0.6414,0.1738,219.5,20.41,24.7061,14.0655,0.4533,0.3406
2023-07-20,176.0,1724.0,,32.6815,3.5498,0.1329,68.53,44.33,177.0884,,4.4851,0.7438,130.0,31.69,83.0621,5.6751,8.9469,0.132,23.25,44.11,23.1577,40.3137,1.0241,0.1263,221.05,20.3,24.8806,13.9897,0.3719,0.3881
2023-07-21,170.9,1771.3,,33.5782,4.0374,0.3135,61.4,44.55,158.6638,,11.2459,0.6213,130.24,31.8,83.2154,5.6948,7.0298,0.153,23.04,44.79,22.9485,40.9352,0.6697,0.2109,221.59,20.36,24.9413,14.0311,0.2162,0.3919
2023-07-24,167.16,1771.15,,33.5753,3.5936,0.1569,61.2,43.78,158.1469,,5.0335,0.7569,131.0,31.45,83.701,5.6321,5.2498,0.1159,23.66,43.75,23.5661,39.9847,0.7353,0.2251,218.98,20.39,24.6476,14.0517,0.3533,0.349
2023-07-25,167.0,1828.55,,34.6634,3.712,0.343,60.4,44.76,156.0797,,6.631,0.9145,134.25,33.27,85.7776,5.958,5.96,0.6116,24.0,44.88,23.9047,41.0174,0.8177,0.3541,226.35,21.58,25.4771,14.8718,0.4967,2.2786
2023-07-26,169.42,1828.55,,34.6634,4.2751,0.1561,59.15,44.02,152.8495,,4.439,0.8183,129.04,33.35,82.4487,5.9724,5.3372,0.2432,23.25,45.14,23.1577,41.255,0.8143,0.1981,226.66,21.78,23.0245,15.0097,0.3981,1.1299
2023-07-27,165.14,1838.03,,34.8432,2.645,0.1619,57.28,44.41,148.0173,,4.9613,0.7777,127.9,33.66,81.7203,6.0279,3.3761,0.2659,22.68,44.72,22.5899,40.8712,0.7183,0.272,226.98,21.52,23.057,14.8305,0.5372,0.8061
2023-07-28,160.8,1897.0,,35.961,3.8116,0.3106,56.86,46.46,146.932,,4.1891,1.5479,126.9,35.1,81.0814,6.2858,4.5463,0.609,22.26,45.75,22.1716,41.8125,0.5971,0.4594,230.05,23.67,23.3689,16.3121,0.4842,3.8827
2023-07-31,164.01,1880.58,,35.6498,3.1752,0.3612,57.09,47.4,147.5263,,3.9981,1.8765,128.0,35.56,81.7842,6.3681,4.966,0.5637,22.33,46.3,22.2413,42.3152,0.7124,0.4944,237.75,24.1,24.1511,16.6085,0.7701,3.9282
2023-08-01,164.77,1889.0,,35.8094,2.7481,0.1531,58.94,46.85,152.3069,,7.2585,0.9126,134.8,34.99,86.129,6.2661,6.4535,0.32,22.67,46.05,22.58,42.0867,0.8234,0.3896,235.5,23.67,23.9225,16.3121,0.4021,2.4091
2023-08-02,166.9,1880.0,,35.6388,2.8333,0.1473,60.72,47.1,156.9066,,7.0665,0.7081,133.8,34.03,85.4901,6.0941,3.5222,0.4437,22.32,45.85,22.2314,41.9039,0.4221,0.1786,236.5,23.85,24.0241,16.4362,0.3643,1.9703
2023-08-03,168.21,1878.47,,34.2472,2.7817,0.1715,63.29,47.28,163.5477,,7.3491,0.6489,130.51,34.68,83.388,6.2105,4.0198,0.2469,22.5,46.31,22.4107,42.3243,0.5983,0.2015,239.14,24.43,24.2922,16.8359,0.4167,2.3172
2023-08-04,172.86,1893.47,,34.5206,3.1451,0.1956,63.52,46.93,164.1421,,4.4119,0.5911,139.95,34.88,89.4195,6.2464,6.1081,0.3939,23.77,46.03,23.6756,42.0684,0.9433,0.2185,245.51,24.7,24.9393,17.022,0.813,4.1154
2023-08-07,169.75,1887.93,,34.4196,2.6805,0.1902,64.4,46.42,166.4161,,3.8818,0.4311,141.75,34.5,90.5696,6.1783,5.5176,0.1671,24.98,45.6,24.8808,41.6754,1.1611,0.1802,246.49,24.77,25.0389,17.0702,0.3844,1.6889
2023-08-08,169.15,1890.0,,34.4574,1.6218,0.1412,64.34,46.14,166.261,,3.3536,0.4125,134.51,34.15,85.9437,6.1156,4.0426,0.2435,24.18,45.74,24.084,41.8034,0.6641,0.1226,247.14,24.9,25.1049,17.1598,0.388,2.189
2023-08-09,165.12,1890.28,,34.4625,1.8962,0.1475,61.0,46.19,157.6301,,4.9254,0.3358,126.84,34.02,81.0431,6.0923,5.5632,0.1875,22.25,46.24,21.708,42.2604,1.1032,0.1669,247.0,24.91,25.0907,17.1667,0.3009,1.4421
2023-08-10,164.0,1875.0,,34.1839,1.3656,0.1468,58.87,47.83,152.126,,5.7645,1.2112,124.01,34.14,79.2349,6.1138,4.1871,0.1395,21.5,46.1,20.9763,42.1324,1.2035,0.139,246.5,25.2,25.0399,17.3665,0.3616,1.647
2023-08-11,158.0,1834.0,,33.4364,1.8343,0.2132,55.27,47.13,142.8232,,8.2126,0.9393,121.98,33.15,77.9378,5.9365,2.7929,0.2939,21.5,44.33,20.9763,40.5147,0.6951,0.263,241.5,24.1,24.532,16.6085,0.4431,2.4648
2023-08-14,159.4,1803.0,,32.8712,2.1607,0.1889,53.8,46.59,139.0246,,4.1099,0.6709,123.52,32.46,78.9218,5.813,3.9971,0.3234,21.4,43.31,20.8787,39.5825,0.6531,0.3137,232.9,23.75,23.6584,16.3673,0.6617,1.7054
2023-08-15,158.57,1812.98,,33.0532,1.6459,0.118,52.6,46.13,135.9237,,2.6669,0.6498,121.9,32.36,77.8867,5.7951,5.6698,0.2826,21.39,42.73,20.8689,39.0524,0.7936,0.1864,231.3,24.11,23.4958,16.6154,0.3763,1.3119
2023-08-16,152.8,1820.0,,33.1812,1.9771,0.105,51.0,45.93,131.7891,,1.73,0.3362,121.01,31.97,77.318,5.7252,4.1833,0.2812,20.89,42.49,20.3811,38.8331,0.6066,0.1336,232.6,24.01,23.6279,16.5465,0.3608,1.2784
2023-08-17,156.94,1828.05,,33.3279,2.6456,0.1376,50.68,46.1,130.9622,,1.9981,0.5205,122.25,31.79,78.1103,5.693,4.2677,0.3132,20.91,42.73,20.4006,39.0524,0.6796,0.2293,235.25,23.95,23.8971,16.5051,0.5265,1.1709
2023-08-18,151.4,1802.59,,32.8638,1.9652,0.1355,50.13,45.12,129.541,,1.3915,0.7223,115.51,31.88,73.8039,5.7091,4.2012,0.327,20.1,41.35,19.6104,37.7912,0.5146,0.2173,235.87,23.97,23.9601,16.5189,0.4319,1.4083
2023-08-21,151.4,1791.0,,32.6525,1.5751,0.1505,50.34,41.25,130.0836,,1.8132,4.1721,117.87,31.13,75.3118,5.5748,3.3998,0.3924,20.41,40.6,19.9128,37.1058,0.4633,0.2344,232.96,22.94,23.6645,15.8091,0.2776,1.8621
2023-08-22,157.61,1788.0,,32.5978,2.1486,0.2122,51.8,40.08,133.8564,,2.0177,2.2397,126.0,31.32,80.5063,5.6088,6.1984,0.2914,22.45,40.49,21.9031,37.0052,1.0071,0.2773,230.75,23.22,23.44,16.002,0.3912,1.1237
2023-08-23,150.14,1774.0,,32.3425,1.9241,0.1585,49.9,39.05,128.9466,,1.4845,1.0158,119.0,30.85,76.0338,5.5247,3.817,0.2718,21.34,39.83,20.8202,36.402,0.6945,0.1985,227.5,22.8,23.1098,15.7126,0.3058,0.6619
2023-08-24,150.3,1816.3,,33.1137,2.1035,0.2074,50.69,39.27,130.9881,,1.7213,0.83,121.0,31.06,77.3116,5.5623,5.4596,0.1998,22.43,40.28,21.8836,36.8133,1.0169,0.2314,228.95,23.56,23.2571,16.2363,0.3646,1.3693
2023-08-25,140.52,1824.98,,33.272,3.0143,0.1499,49.66,39.1,114.8422,,1.6047,0.5901,106.95,31.56,68.3346,5.6518,7.7422,0.3139,20.32,40.08,19.825,36.6305,0.984,0.1598,228.34,23.43,23.1952,16.1468,0.2881,1.1821
2023-08-28,145.1,1834.97,,33.4541,2.7362,0.3268,50.77,38.7,117.4091,,2.5197,1.119,111.5,32.26,66.5397,5.6365,6.5007,0.6811,20.68,39.82,20.1762,36.3929,0.6936,0.3533,230.5,23.79,23.4146,16.3948,0.5746,4.4484
2023-08-29,145.96,1851.33,,33.7524,3.1558,0.2305,53.02,39.78,122.6124,,2.8417,0.7902,115.19,32.04,68.7418,5.598,5.8583,0.3496,21.59,40.0,21.0641,36.5574,0.8712,0.3227,238.5,23.38,24.2272,16.1123,0.7514,2.2095
2023-08-30,159.86,1856.0,,33.8375,5.4641,0.1577,56.54,39.39,130.7527,,3.8118,0.6905,116.0,31.66,69.2252,5.5316,4.1834,0.3101,21.8,39.82,21.269,37.5254,0.6742,0.381,237.5,22.56,24.1257,15.6043,0.3758,2.0378
2023-08-31,158.8,1847.0,,33.6734,4.6142,0.118,59.19,39.23,136.881,,4.4377,0.6162,114.62,31.55,68.4016,5.5124,2.5741,0.2439,21.91,39.1,21.3763,36.8469,0.5904,0.3365,236.55,22.2,24.0292,15.3553,0.2491,1.0702
2023-09-01,148.83,1851.05,,33.7472,4.1423,0.1046,59.31,39.49,137.1585,,3.1091,0.4554,112.15,32.27,66.9276,5.6382,2.7987,0.3381,21.25,39.45,20.7324,37.1768,0.4742,0.1698,236.4,22.38,24.0139,15.4798,0.2344,0.8783
2023-09-04,148.88,1866.0,,34.0198,2.8524,0.19,61.1,40.03,141.298,,2.5773,0.7948,112.35,33.53,67.047,5.8584,2.209,0.5353,20.99,40.04,20.4787,37.7328,0.4843,0.3519,237.65,22.57,24.1409,15.6112,0.3619,0.8729
2023-09-05,144.5,1858.7,,33.8867,3.4493,0.1247,58.13,39.65,134.4297,,2.9654,0.5535,109.01,33.11,65.0538,5.785,2.8577,0.2168,20.31,39.99,19.8153,37.6856,0.5009,0.1803,236.82,22.38,24.0566,15.4798,0.2983,0.5691
2023-09-06,152.95,1861.0,,33.9287,4.5298,0.0885,60.0,39.43,138.7542,,2.5378,0.4456,109.7,33.36,65.4655,5.8287,2.6457,0.265,20.22,40.08,19.7274,37.7704,0.4534,0.187,234.42,22.13,23.8128,15.3069,0.3213,0.8604
2023-09-07,138.88,1838.0,,33.5093,4.6221,0.1352,58.08,38.9,134.314,,2.0288,0.5259,106.31,33.14,63.4425,5.7902,3.1897,0.1739,19.2,39.12,18.7323,36.8658,0.6453,0.1806,226.51,22.12,23.0093,15.3,0.4962,0.7547
2023-09-08,140.48,1818.5,,33.1538,3.1348,0.0972,57.24,39.24,132.3715,,1.7475,0.4654,105.25,33.17,62.8099,5.7955,3.8374,0.1447,19.08,38.46,18.6152,36.2438,0.4688,0.1699,222.94,22.25,22.6466,15.3899,0.4249,0.6472
2023-09-11,141.09,1822.17,,33.2207,3.2801,0.1268,58.3,39.35,134.8228,,2.3819,0.5013,109.2,32.91,65.1672,5.75,5.0616,0.3068,19.46,39.03,18.9853,36.781,0.6888,0.1829,221.53,22.6,22.5034,15.632,0.4394,0.9916
2023-09-12,142.2,1819.96,,33.1804,2.5928,0.0969,56.76,39.17,131.2614,,1.6015,0.394,109.92,32.88,65.5968,5.7448,3.2629,0.1346,19.28,39.2,18.8097,36.9412,0.4102,0.1486,217.93,22.39,22.1377,15.4867,0.4695,0.5771
2023-09-13,136.38,1819.91,,33.1795,2.8692,0.1552,55.33,38.83,127.9545,,1.4401,0.5126,106.67,32.75,63.6573,5.7221,2.4072,0.1449,18.86,39.35,18.3999,37.0825,0.3809,0.1976,216.6,22.28,22.0026,15.4106,0.3898,0.4917
2023-09-14,133.58,1818.69,,33.1573,1.7056,0.1393,53.69,38.34,124.1618,,1.4564,0.6455,102.65,33.07,61.2583,5.778,3.2832,0.212,18.59,39.02,18.1365,36.7715,0.3674,0.1982,214.93,22.29,21.833,15.4176,0.4711,0.4925
2023-09-15,133.97,1781.99,,32.4882,2.8057,0.2263,52.85,38.17,122.2193,,1.4836,0.6272,98.68,32.96,58.8891,5.7588,4.8495,0.2131,18.13,39.08,17.6877,36.8281,0.4834,0.2137,207.76,22.05,21.1091,15.2516,0.8672,0.659
2023-09-18,129.2,1829.2,,33.3489,2.5114,0.2592,52.95,38.46,122.4505,,1.2041,0.4834,95.5,33.02,56.9914,5.7693,3.9582,0.1747,18.3,39.06,17.8536,36.8092,0.4652,0.1924,213.06,22.14,21.6476,15.3138,0.6847,0.5255
2023-09-19,126.79,1826.94,,33.3077,2.0951,0.1193,52.07,38.18,120.4155,,1.0504,0.452,96.5,32.96,57.5882,5.7588,3.5356,0.1865,18.48,38.95,18.0292,36.7056,0.546,0.1773,212.32,22.02,21.5724,15.2308,0.3863,0.4217
2023-09-20,123.3,1824.0,,33.2541,2.5277,0.0995,51.39,37.81,118.8429,,1.1127,0.3921,97.15,32.73,57.9761,5.7186,3.6719,0.1499,18.4,38.67,17.9511,36.4417,0.5281,0.1242,209.9,21.9,21.3265,15.1478,0.3365,0.346
2023-09-21,123.8,1798.39,,32.7872,2.5617,0.1551,51.3,37.64,118.6348,,1.0847,0.3912,97.37,32.37,58.1074,5.6557,3.1961,0.1892,18.31,37.82,17.8633,35.6407,0.3723,0.2023,206.73,21.73,21.0044,15.0302,0.4169,0.4337
2023-09-22,130.49,1849.0,,33.7099,3.9339,0.2738,54.26,38.16,125.48,,2.7746,0.4343,111.08,33.34,66.2891,5.8252,8.6324,0.3455,19.94,39.3,19.4536,37.0354,1.0732,0.2891,210.93,22.61,21.4312,15.6389,0.5787,1.1247
2023-09-25,126.13,1832.38,,33.4069,2.6283,0.1113,52.57,37.84,121.5718,,1.6853,0.3447,107.5,33.0,64.1527,5.7658,5.4704,0.2213,19.29,38.41,18.8194,36.1967,0.5279,0.234,209.28,21.9,21.2635,15.1478,0.3495,0.9122
2023-09-26,130.42,1816.0,,33.1082,3.7256,0.1255,53.46,37.34,123.63,,2.0882,0.4808,111.8,32.8,66.7188,5.7308,5.8935,0.1561,19.73,37.97,19.2487,35.782,0.6393,0.2373,204.5,21.98,20.7779,15.2031,0.5203,0.5029
2023-09-27,126.8,1814.0,,33.0718,2.9462,0.1662,54.0,37.62,124.8787,,1.5968,0.5082,114.07,32.82,68.0734,5.7343,3.6801,0.1709,19.8,39.03,19.317,36.781,0.4187,0.3891,203.66,22.03,20.6925,15.2377,0.5612,0.5135
2023-09-28,123.95,1798.55,,32.7901,2.7711,0.1635,53.98,37.89,124.8325,,1.6407,0.4386,115.8,32.97,69.1058,5.7605,4.0841,0.1884,19.7,37.99,19.2194,35.8009,0.3705,0.3372,203.03,21.66,20.6285,14.9818,0.4061,0.7517
2023-10-09,126.03,1777.0,,32.3972,3.1374,0.2369,53.06,37.07,122.7049,,1.3099,0.5062,111.06,32.58,66.2771,5.6924,5.8983,0.1752,19.26,38.01,18.7902,35.8197,0.5304,0.2536,195.5,21.68,19.8634,14.9956,0.8667,0.6226
2023-10-10,123.62,1770.0,,32.2696,2.1236,0.1615,53.94,37.11,124.74,,1.5335,0.4115,109.45,32.59,65.3163,5.6941,3.4046,0.1661,18.86,38.27,18.3999,36.0647,0.4037,0.3322,194.72,21.43,19.7842,14.8227,0.5103,0.3568
